worker_id	turker_id	num_examples	accent	gender	creak	hoarseness	muffled-ness	volume	background_noise
ac874c0428284b4f896618fc6ae93573	A3OMRMNTOU7QXI	18	no	man	no	no	2	4	4
74b14009e1ae4f87907d0491c8d2068d	A1E77HZO63E334	898	no	man	no	no	1	2	2
0e29c52b241946f5944a83a562457030	A1P0SZ4C7PLX7K	43	no	man	no	no	3	2	2
5f374494de9e4cf295902435c8a96ba3	A39VDXGL1RVURU	3	no	man	yes	no	2	3	2
42a9e37e508e40b59a2fe14f5685a8af	A3B0AB2C9SIHN	60	yes	woman	no	no	2	2	2
8eb20f3f2e6d4cf0a487d99648beb5a3	A2AZPN49QNMLSD	43	no	man	no	no	1	2	1
1f6bc21ddcf748ac9aa9bfc13081a4d3	AK1R9J8CD04Q1	3	yes	man	no	no	3	2	2
4aabf56543b54071b701d4ae8ac6284a	A2HHIBGZ7HDJZS	28	yes	woman	no	no	3	3	1
e57cccaac5004cf49d8b40d452647a7e	A1K4IPWUYHGD9W	1	no	woman	no	no	1	2	3
a85e4490689345bcb6b93ca9c946d343	A3I7TW5WJBH9T1	98	no	woman	no	no	2	2	2
ad0de5a20c5a4ff0b1f76ffd122b72a4	A28QUR0QYD2WI7	244	yes	woman	no	no	3	2	3
6e4cbe66ebe3425f9999ce965b79bcad	A308VDNYF180ZF	50	yes	man	no	no	1	2	2
3c05e83ec8704dd8a72f3110365bf32e	AJY5G987IRT25	36	yes	man	no	no	3	3	1
e5f068399e674400b4b55bb7bb7411cf	AVOF14300525D	10	no	woman	no	no	2	2	1
204bcfb7d5ce4406bcc2eb918a07fbd2	A9E9Y0LEAYO4V	104	yes	woman	no	no	3	2	2
f657620fa4b94be89dfc300b94203233	A3EUFDOUX1GCL	83	yes	woman	no	no	2	4	1
1a75419f876a4236ab64824fb534c42c	A3GNQDFPZALU92	32	no	man	no	yes	1	3	1
515fcfa7e22f4abb8dba9269c8d59b78	AGPGH9GLV1UAW	507	yes	man	no	no	2	3	2
ce64424317f748c5b42d6eb02098e05f	A2HRUFTA09371Y	100	no	woman	yes	no	1	2	1
c02e28b864954f08bd9225b29cf042cf	A3NZN2OHD5BGVQ	1	yes	woman	no	no	3	2	3
ee21500952ba40209cd2a5bafe6c72fc	A4D99Y82KOLC8	291	no	undet	no	no	3	1	1
9521eeb9d527410ab170d2f2b394a55a	A2K56Y949TYAY6	177	yes	man	no	no	2	3	2
b19e55ec0d234b49aac831694f0919be	A391OVILIK4JK2	1	no	man	no	no	2	1	1
4d8d00bdee82483481b0e82c644d68bb	A20E0HQV4N11SW	88	no	woman	no	no	2	2	2
f802e17881b2415baa134258b227502c	AA5QJRKG3Y0V5	40	yes	man	no	no	3	2	1
5fbbf208b8e3495b8aa5e165b4f5e675	AXID3RPK6NZT6	341	yes	man	no	no	3	4	1
facc70f2c9e748febc63eef6a26ee3d0	A13TA3WX9VH0MM	3	yes	man	no	no	2	2	1
b37ecd2fdbf5425bbc212c8b954e1865	A1TP444NFUIY3T	13	no	man	no	no	2	2	1
034df28f14f74af2a7dbdacc17b9a9d5	A3722NOMVUK89T	1	no	man	no	no	2	4	2
ad441747a8034f29bf9e74beeefec80a	A3MY6E0UB6RBZH	3	no	woman	no	no	3	3	2
